CódigoItem,Descricao,Cidade Entrega,UF,Data Emissão NF,Valor
016300020,LOIC-1800 H SUPERCFC-1,Fortaleza,CE,2004-09-22,15738.43
016300020,LOIC-1800 H SUPERCFC-1,Fortaleza,CE,2004-09-22,15738.43
09341020,TMY 1303 - FL1TMW 1,Ituiutaba,MG,2004-09-24,58697.26
010912020,LOIC-2000S - USADACFC-2,Caceres,MT,2004-09-27,21713.36
08417020,GILON 11000 (DT DE LINHA)GILON,Fortaleza,CE,2004-10-01,15764.71
09365020,LEC-608->FLLEC-6,Tamarana,PR,2004-10-08,24645.49
014745020,VM-450VM-45,Tamarana,PR,2004-10-08,21019.61
013146020,CMC-170 CM --> DT DECMC-1,Sao Carlos,SP,2004-10-11,7882.36
016300020,LOIC-1800 H SUPERCFC-1,Arandu,SP,2004-10-13,10509.81
08342020,LOIC-1300 SUPERCFC-1,Nova Europa,SP,2004-10-19,9038.43
08343020,LOIC-1800 SUPER (USADA)CFC-1,Nossa Senhora Do,SE,2004-10-25,10720.00
012189020,RY-110T - FLRW-11,Uberaba,MG,2004-10-25,54791.81
014742020,VM-250 - FLVM-25,Uberaba,MG,2004-10-25,20878.78
08710020,TMY 1303 - FLTMW 1,Ituiutaba,MG,2004-10-27,60466.12
09361020,LILC-150AP 24 FACAS - FLCRC-1,Redencao,PA,2004-11-05,19690.12
09341020,TMY 1303 - FL1TMW 1,Ituiutaba,MG,2004-11-08,50972.55
08704020,TMY 603 - FL1TMW 6,Tres Pontas,MG,2004-11-08,35770.12
08390020,TMY 753 - FLTMW 7,Cocalinho,MT,2004-11-08,47294.12
013146020,CMC-170 CM --> DT DECMC-1,Sao Carlos,SP,2004-11-11,7882.36
019126020,LILC-180AP - FLCRC-1,Bras. De Minas,MG,2004-11-12,25276.08
012189020,RY-110T - FLRW-11,Barretos,SP,2004-11-12,64808.71
014668020,RY-200C - FLRW-20,Ribas Do Rio Par,MS,2004-11-12,118586.55
016300020,LOIC-1800 H SUPERCFC-1,Inconfidentes,MG,2004-11-16,17656.47
016300020,LOIC-1800 H SUPERCFC-1,Castro,PR,2004-11-17,13978.04
014745020,VM-450VM-45,Avare,SP,2004-11-18,17866.67
017124020,CMC-100 QGCMC-1,Patos De Minas,MG,2004-11-25,6095.69
08417020,GILON 11000 (DT DE LINHA)GILON,Araraquara,SP,2004-11-29,15764.71
020208020,VM-450 - USADAVM-45,Patos De Minas,MG,2004-11-30,18917.65
019126020,LILC-180AP - FLCRC-1,Arapoti,PR,2004-12-01,27220.40
017124020,CMC-100 QGCMC-1,Canoas,RS,2004-12-02,3415.69
019881020,TMY 203 D - USATMW 2,Laranjal Paulist,SP,2004-12-02,22659.40
019126020,LILC-180AP - FLCRC-1,Glicerio,SP,2004-12-08,22490.98
08363020,PODA PASTO 2000PODA ,Castro,PR,2004-12-08,8670.59
014657020,TMY 753 LIL - 20TMW 7,Paranapoema,PR,2004-12-15,53153.86
08340020,LOIC-1800 SUPERCFC-1,Dourados,MS,2004-12-23,12349.02
08417020,GILON 11000 (DT DE LINHA)GILON,Dourados,MS,2004-12-23,10541.34
08341020,LOIC-1800 SUPER -> FLCFC-1,Castro,PR,2004-12-29,17446.27
09185020,LILC-180AP - FLCRC-1,Auriflama,SP,2004-12-29,16571.99
08417020,GILON 11000 (DT DE LINHA)GILON,Auriflama,SP,2004-12-29,17027.71
016300020,LOIC-1800 H SUPERCFC-1,Monte Carlos,SC,2005-01-05,16911.13
09361020,LILC-150AP 24 FACAS - FLCRC-1,Betim,MG,2005-01-14,18917.65
014657020,TMY 753 LIL - 20TMW 7,Triunfo,RS,2005-01-17,60956.87
017124020,CMC-100 QGCMC-1,Valparaiso,SP,2005-01-21,5675.30
017124020,CMC-100 QGCMC-1,Valparaiso,SP,2005-01-21,5675.30
016300020,LOIC-1800 H SUPERCFC-1,Campo Florido,MG,2005-01-25,15764.71
