CódigoItem,Descricao,Cidade Entrega,UF,Data Emissão NF,Quantidade,Valor
1,Tipo_A,GLICERIO,SP,2004-12-08,1,17203.9239
12,Tipo_G,CASTRO,PR,2004-12-08,1,6632.3568
1,Tipo_A,DOURADOS,MS,2004-12-23,1,9446.0802
19,Tipo_K,DOURADOS,MS,2004-12-23,1,8063.3347
1,Tipo_A,CASTRO,PR,2004-12-29,1,13345.0982
1,Tipo_A,AURIFLAMA,SP,2004-12-29,1,12676.3349
19,Tipo_K,AURIFLAMA,SP,2004-12-29,1,13024.9292
1,Tipo_A,MONTE CARLOS,SC,2005-01-05,1,12935.7501
1,Tipo_A,BETIM,MG,2005-01-14,1,14470.5892
1,Tipo_A,VALPARAISO,SP,2005-01-21,1,4341.1784
1,Tipo_A,VALPARAISO,SP,2005-01-21,1,4341.1784
1,Tipo_A,CAMPO FLORIDO,MG,2005-01-25,1,12058.8257
1,Tipo_A,RIO BRILHANTE,MS,2005-01-28,1,21585.2946
1,Tipo_A,BETIM,MG,2005-02-01,1,14470.5892
1,Tipo_A,CAMPO GRANDE,MS,2005-02-04,1,11315.1964
1,Tipo_A,SAO CAETANO DO S,SP,2005-02-14,1,7423.8208
1,Tipo_A,SAO CAETANO DO S,SP,2005-02-14,1,7423.8208
1,Tipo_A,SAO CAETANO DO S,SP,2005-02-14,1,7423.8208
1,Tipo_A,SAO CAETANO DO S,SP,2005-02-14,1,7423.8208
1,Tipo_A,SAO CAETANO DO S,SP,2005-02-14,1,7423.8167
19,Tipo_K,SAO CAETANO DO S,SP,2005-02-14,1,10945.5199
19,Tipo_K,SAO CAETANO DO S,SP,2005-02-14,1,10945.5199
19,Tipo_K,SAO CAETANO DO S,SP,2005-02-14,1,10945.5199
19,Tipo_K,SAO CAETANO DO S,SP,2005-02-14,1,10945.5199
19,Tipo_K,SAO CAETANO DO S,SP,2005-02-14,1,10945.5199
19,Tipo_K,SAO CAETANO DO S,SP,2005-02-14,1,10945.5199
1,Tipo_A,PATOS DE MINAS,MG,2005-02-18,1,8039.2185
13,Tipo_H_2-5,PATOS DE MINAS,MG,2005-02-18,1,20786.4711
1,Tipo_A,PATROCINIO,MG,2005-03-01,1,9779.3077
1,Tipo_A,ALTINOPOLIS,SP,2005-03-15,1,11254.9059
9,Tipo_F_15-20,PATOS DE MINAS,MG,2005-03-21,1,74362.7455
1,Tipo_A,ARAPOTI,PR,2005-04-01,1,14382.1604
9,Tipo_F_15-20,BURITAMA,SP,2005-04-01,1,80392.1604
19,Tipo_K,BRASILANDIA,MS,2005-04-25,1,14872.5491
7,Tipo_F_0-11,JEQUITAI,MG,2005-05-09,1,23112.7455
9,Tipo_F_15-20,ITAQUIRAI,MS,2005-05-13,1,52254.9059
1,Tipo_A,FORTALEZA,CE,2005-05-20,1,11797.5491
1,Tipo_A,FORTALEZA,CE,2005-05-20,1,11797.5491
1,Tipo_A,SONORA,MS,2005-05-20,1,11463.9649
17,Tipo_J_2-8,PORTO MURTINHO,PR,2005-05-24,1,14985.9961
1,Tipo_A,ARAGUAPAZ,GO,2005-05-27,1,14068.6293
14,Tipo_H_6-10,SAO PAULO,SP,2005-06-03,1,42942.2766
9,Tipo_F_15-20,MAURILANDIA,GO,2005-06-13,1,98891.016
9,Tipo_F_15-20,NOVA CRIXAS,GO,2005-06-15,1,36980.3928
7,Tipo_F_0-11,BURITAMA,SP,2005-06-15,1,47752.9419
14,Tipo_H_6-10,ITUIUTABA,MG,2005-06-15,1,38186.2766
19,Tipo_K,FORTALEZA,CE,2005-06-15,1,14329.9059
19,Tipo_K,FORTALEZA,CE,2005-06-15,1,14329.9059
1,Tipo_A,SAO CAETANO DO S,SP,2005-06-20,1,7615.545
1,Tipo_A,SAO CAETANO DO S,SP,2005-06-20,1,7615.545
1,Tipo_A,SAO CAETANO DO S,SP,2005-06-20,1,7615.545
1,Tipo_A,SAO CAETANO DO S,SP,2005-06-20,1,7615.545
1,Tipo_A,SAO CAETANO DO S,SP,2005-06-20,1,7615.545
1,Tipo_A,SAO CAETANO DO S,SP,2005-06-20,1,7615.545
19,Tipo_K,BRASILANDIA,MS,2005-06-22,1,15170
1,Tipo_A,NOVA EUROPA,SP,2005-06-22,1,7708
9,Tipo_F_15-20,PONTAPORA,MS,2005-06-23,1,32800
1,Tipo_A,RIBAS DO RIO PAR,MS,2005-06-24,1,15177.6916
14,Tipo_H_6-10,GUARATINGUETA,SP,2005-06-27,1,32759
13,Tipo_H_2-5,BELO HORIZONTE,MG,2005-06-30,1,25845.867
7,Tipo_F_0-11,CASTRO,PR,2005-07-01,1,46740
13,Tipo_H_2-5,VARGINHA,MG,2005-07-01,1,22945.65
2,Tipo_B,BRASILANDIA,MS,2005-07-05,1,22960
2,Tipo_B,BRASILANDIA,MS,2005-07-05,1,22960
2,Tipo_B,BRASILANDIA,MS,2005-07-06,1,22960
14,Tipo_H_6-10,CORUMBAIBA,GO,2005-07-06,1,32841
2,Tipo_B,BRASILANDIA,MS,2005-07-06,1,22960
1,Tipo_A,CASTRO,PR,2005-07-12,1,14709.98
19,Tipo_K,SAO CAETANO DO S,SP,2005-07-22,1,11378.6234
19,Tipo_K,SAO CAETANO DO S,SP,2005-07-22,1,11378.6234
1,Tipo_A,CANOAS,RS,2005-07-28,1,8200
1,Tipo_A,CASTRO,PR,2005-08-02,1,10250
7,Tipo_F_0-11,ASSUNCION,EX,2005-08-05,1,28413
17,Tipo_J_2-8,SANTIAGO-CHILE,EX,2005-08-11,1,14396.8548
9,Tipo_F_15-20,CASTRO,PR,2005-08-24,1,58425
17,Tipo_J_2-8,ARAGUATINS,TO,2005-08-26,1,22853.4
14,Tipo_H_6-10,SAO LUIZ DO PARA,SP,2005-09-02,1,48667.82
1,Tipo_A,TATUI,SP,2005-09-05,1,4920
1,Tipo_A,NOVA EUROPA,SP,2005-09-15,1,7708
17,Tipo_J_2-8,PINDAMONHANGABA,SP,2005-09-20,1,7585
2,Tipo_B,BELEM,PA,2005-10-06,1,22140
2,Tipo_B,BELEM,PA,2005-10-07,1,22140
1,Tipo_A,COLOMBIA,EX,2005-10-10,1,6018.267
1,Tipo_A,COLOMBIA,EX,2005-10-10,1,6018.267
1,Tipo_A,COLOMBIA,EX,2005-10-10,1,6018.267
1,Tipo_A,COLOMBIA,EX,2005-10-10,1,6018.267
19,Tipo_K,SAO CAETANO DO S,SP,2005-10-10,1,10977.7172
19,Tipo_K,SAO CAETANO DO S,SP,2005-10-10,1,10977.7172
13,Tipo_H_2-5,PATOS DE MINAS,MG,2005-10-13,1,38466.2
14,Tipo_H_6-10,SAN DIEGO,EX,2005-10-14,1,22090.144
1,Tipo_A,ALVARO DE CARVAL,SP,2005-10-19,1,13952.3
19,Tipo_K,FORTALEZA,CE,2005-10-21,1,15302.43
1,Tipo_A,CASTRO,PR,2005-10-25,1,10687.88
1,Tipo_A,VACARIA,RS,2005-10-26,1,12505
2,Tipo_B,CASTRO,PR,2005-10-26,1,21730
1,Tipo_A,SANTANA DO LIVRA,RS,2005-11-09,1,13038
1,Tipo_A,MEDIANEIRA,PR,2005-11-10,1,11273.36
1,Tipo_A,CAMPINAS,SP,2005-11-23,1,9462.8
14,Tipo_H_6-10,ANGATUBA,SP,2005-11-24,1,25317.5
14,Tipo_H_6-10,ANGATUBA,SP,2005-11-25,1,3280
7,Tipo_F_0-11,ARARAQUARA,SP,2005-12-01,1,18724.4089
1,Tipo_A,JAMBEIRO,SP,2005-12-02,1,8610
1,Tipo_A,POCO BRANCO,RN,2005-12-07,1,10250
1,Tipo_A,ITAPORANGA,SP,2005-12-07,1,8610
12,Tipo_G,POCO BRANCO,RN,2005-12-07,1,8118
1,Tipo_A,ITAITUBA,PA,2005-12-07,1,16347.52
13,Tipo_H_2-5,CORONEL PACHECO,MG,2005-12-08,1,18450
14,Tipo_H_6-10,LONDRINA,PR,2005-12-08,1,25830
13,Tipo_H_2-5,CANOAS,RS,2005-12-16,1,24138.176
1,Tipo_A,FRANCISCO BELTRA,PR,2005-12-21,1,4329.6
7,Tipo_F_0-11,AVAI,SP,2005-12-21,1,24600
1,Tipo_A,ESTRELA,RS,2005-12-29,1,3444
1,Tipo_A,ESTRELA,RS,2005-12-29,1,3444
1,Tipo_A,ESTRELA,RS,2005-12-29,1,3444
1,Tipo_A,TABATINGA,SP,2006-01-11,1,8610
1,Tipo_A,VACARIA,RS,2006-01-11,1,12505
17,Tipo_J_2-8,LUIS EDUARDO MAG,BA,2006-01-25,1,19245.4
1,Tipo_A,VARZEA DA PALMA,MG,2006-01-26,1,11070
1,Tipo_A,ARAPOTI,PR,2006-01-31,1,8934.4453
1,Tipo_A,VALPARAISO,SP,2006-02-02,1,4428
1,Tipo_A,VALPARAISO,SP,2006-02-02,1,4428
2,Tipo_B,SINOP,MT,2006-02-07,1,31621.66
13,Tipo_H_2-5,PIRASSUNUNGA,SP,2006-02-08,1,29930
