CódigoItem,Descricao,Cidade Entrega,UF,Data Emissão NF,Quantidade,Valor
7,Tipo_F_0-11,SÃO JOSÉ DO RIO PRETO,SP,2016-11-29,1,39059.06000000
8,Tipo_F_0-11_Z,SÃO JOSÉ DO RIO PRETO,SP,2017-10-02,1,48939.65000000
17,Tipo_J_2-8,JAU,SP,2015-05-08,1,23982.95000000
17,Tipo_J_2-8,JAU,SP,2016-05-04,1,24816.07000000
7,Tipo_F_0-11,JAU,SP,2016-09-30,1,49534.45750000
17,Tipo_J_2-8,JAU,SP,2016-10-21,1,18180.22000000
17,Tipo_J_2-8,JAU,SP,2018-05-30,1,20448.75000000
1,Tipo_A,JAU,SP,2020-04-14,1,14965
17,Tipo_J_2-8,JAU,SP,2020-11-30,1,27347
17,Tipo_J_2-8,LIMEIRA,SP,2020-11-09,1,25652.88000000
9,Tipo_F_15-20,BARRETOS,SP,2015-05-20,1,106600
4,Tipo_D,BARRETOS,SP,2016-01-29,1,20603.09450000
13,Tipo_H_2-5,BARRETOS,SP,2016-08-26,1,40878.96390000
17,Tipo_J_2-8,BARRETOS,SP,2017-03-30,1,22397.39800000
7,Tipo_F_0-11,BARRETOS,SP,2017-05-05,1,69117.80000000
8,Tipo_F_0-11_Z,BARRETOS,SP,2017-08-30,1,44386.64100000
8,Tipo_F_0-11_Z,BARRETOS,SP,2019-01-24,1,68593
14,Tipo_H_6-10,BARRETOS,SP,2020-02-14,1,37064
7,Tipo_F_0-11,BARRETOS,SP,2020-06-10,1,46166
14,Tipo_H_6-10,BARRETOS,SP,2020-08-06,1,38253
9,Tipo_F_15-20,BEBEDOURO,SP,2015-06-09,1,88642
7,Tipo_F_0-11,BEBEDOURO,SP,2015-07-23,1,55965
13,Tipo_H_2-5,BEBEDOURO,SP,2015-08-07,1,26706.99000000
13,Tipo_H_2-5,BEBEDOURO,SP,2015-10-01,1,36980.22880000
13,Tipo_H_2-5,BEBEDOURO,SP,2016-08-04,1,40878.96390000
7,Tipo_F_0-11,BEBEDOURO,SP,2018-03-28,1,58252.80000000
14,Tipo_H_6-10,BEBEDOURO,SP,2020-01-24,1,43829
13,Tipo_H_2-5,PIRASSUNUNGA,SP,2015-09-14,1,21732.42310000
7,Tipo_F_0-11,PIRASSUNUNGA,SP,2016-10-19,1,46177.07000000
13,Tipo_H_2-5,PIRASSUNUNGA,SP,2020-05-22,1,35916
1,Tipo_A,ITÁPOLIS,SP,2015-09-04,1,19174.53150000
17,Tipo_J_2-8,ITÁPOLIS,SP,2019-08-13,1,22447.50000000
17,Tipo_J_2-8,TAQUARITINGA,SP,2018-06-08,1,28041.95000000
13,Tipo_H_2-5,UBERLÂNDIA,MG,2015-09-16,1,38868.82000000
4,Tipo_D,UBERLÂNDIA,MG,2016-09-22,1,23568.03000000
13,Tipo_H_2-5,UBERLÂNDIA,MG,2017-02-20,1,35173.90000000
8,Tipo_F_0-11_Z,UBERLÂNDIA,MG,2018-07-05,1,44332.07000000
14,Tipo_H_6-10,UBERLÂNDIA,MG,2018-10-17,1,45890.07000000
2,Tipo_B,UBERLÂNDIA,MG,2019-02-27,1,46535
13,Tipo_H_2-5,UBERLÂNDIA,MG,2019-09-19,1,37023
7,Tipo_F_0-11,UBERLÂNDIA,MG,2020-03-25,1,61290.90000000
14,Tipo_H_6-10,UBERLÂNDIA,MG,2020-06-29,1,54406.76630000
7,Tipo_F_0-11,ITUIUTABA,MG,2016-09-30,1,43241.47000000
7,Tipo_F_0-11,ITUIUTABA,MG,2016-10-07,1,64274.06000000
14,Tipo_H_6-10,ITUIUTABA,MG,2017-05-17,1,53161.83000000
14,Tipo_H_6-10,ITUIUTABA,MG,2017-09-27,1,50535.78000000
4,Tipo_D,ITUIUTABA,MG,2017-11-21,1,32484.30000000
8,Tipo_F_0-11_Z,ITUIUTABA,MG,2018-03-08,1,42050.50200000
1,Tipo_A,ITUIUTABA,MG,2018-03-14,1,21723.44000000
8,Tipo_F_0-11_Z,ITUIUTABA,MG,2018-06-29,1,44386.60000000
8,Tipo_F_0-11_Z,ITUIUTABA,MG,2018-10-02,1,50521.84000000
15,Tipo_H_12-15,ITUIUTABA,MG,2019-01-29,1,82702.74000000
7,Tipo_F_0-11,ITUIUTABA,MG,2019-04-10,1,38294
8,Tipo_F_0-11_Z,ITUIUTABA,MG,2019-08-23,1,54259.40000000
8,Tipo_F_0-11_Z,ITUIUTABA,MG,2019-10-25,1,43952
14,Tipo_H_6-10,ITUIUTABA,MG,2020-05-21,1,32848.79000000
6,Tipo_F_Mini,FRUTAL,MG,2015-07-10,1,16564
7,Tipo_F_0-11,FRUTAL,MG,2015-10-02,1,47929
11,Tipo_F_25-27,FRUTAL,MG,2016-09-05,1,240219
7,Tipo_F_0-11,FRUTAL,MG,2016-10-06,1,58240.50000000
7,Tipo_F_0-11,FRUTAL,MG,2017-10-31,1,55789.11000000
13,Tipo_H_2-5,FRUTAL,MG,2018-06-25,1,28606.26580000
15,Tipo_H_12-15,FRUTAL,MG,2018-09-19,1,69852.93000000
15,Tipo_H_12-15,FRUTAL,MG,2018-11-19,1,69852.93000000
2,Tipo_B,FRUTAL,MG,2019-05-16,1,47822.40000000
4,Tipo_D,FRUTAL,MG,2019-09-05,1,29943.53000000
14,Tipo_H_6-10,TERRA ROXA,SP,2020-04-15,1,45305
1,Tipo_A,RECIFE,PE,2016-07-26,1,13408.64000000
17,Tipo_J_2-8,RECIFE,PE,2016-12-20,1,18599.24000000
17,Tipo_J_2-8,RECIFE,PE,2016-12-20,1,18599.24000000
17,Tipo_J_2-8,RECIFE,PE,2017-06-20,1,22164.60000000
14,Tipo_H_6-10,PARAGOMINAS,PA,2016-08-08,1,73800
14,Tipo_H_6-10,PONTES E LACERDA,MT,2015-12-10,1,37146
7,Tipo_F_0-11,PONTES E LACERDA,MT,2016-12-21,1,65172.37000000
8,Tipo_F_0-11_Z,PONTES E LACERDA,MT,2018-03-20,1,65085.04000000
8,Tipo_F_0-11_Z,PONTES E LACERDA,MT,2018-10-26,1,42845
8,Tipo_F_0-11_Z,PONTES E LACERDA,MT,2018-10-26,1,66420
14,Tipo_H_6-10,PONTES E LACERDA,MT,2019-04-23,1,33087
8,Tipo_F_0-11_Z,PONTES E LACERDA,MT,2019-04-30,1,53197.50000000
8,Tipo_F_0-11_Z,PONTES E LACERDA,MT,2019-04-30,1,53197.50000000
7,Tipo_F_0-11,CACERES,MT,2015-12-10,1,45238.17000000
4,Tipo_D,CACERES,MT,2016-01-08,1,21781.25000000
13,Tipo_H_2-5,CACERES,MT,2016-07-06,1,29632.62700000
7,Tipo_F_0-11,CACERES,MT,2016-09-09,1,66089.95000000
4,Tipo_D,CACERES,MT,2016-11-22,1,11699.35000000
8,Tipo_F_0-11_Z,CACERES,MT,2018-11-19,1,47908.50000000
14,Tipo_H_6-10,CACERES,MT,2019-01-25,1,41102.50000000
4,Tipo_D,TANGARA DA SERRA,MT,2015-05-13,1,20848.50000000
7,Tipo_F_0-11,TANGARA DA SERRA,MT,2015-05-20,1,51490.26000000
7,Tipo_F_0-11,TANGARA DA SERRA,MT,2015-11-23,1,58468.46000000
17,Tipo_J_2-8,TANGARA DA SERRA,MT,2015-12-09,1,22960
11,Tipo_F_25-27,TANGARA DA SERRA,MT,2016-02-23,1,243817.98000000
17,Tipo_J_2-8,TANGARA DA SERRA,MT,2016-08-19,1,23814.27600000
9,Tipo_F_15-20,TANGARA DA SERRA,MT,2016-10-11,1,97220.02000000
9,Tipo_F_15-20,TANGARA DA SERRA,MT,2017-01-18,1,121725.54370000
8,Tipo_F_0-11_Z,TANGARA DA SERRA,MT,2017-05-17,1,51053.46650000
8,Tipo_F_0-11_Z,TANGARA DA SERRA,MT,2017-06-29,1,50521.84000000
8,Tipo_F_0-11_Z,TANGARA DA SERRA,MT,2017-09-12,1,65785.32000000
8,Tipo_F_0-11_Z,TANGARA DA SERRA,MT,2017-12-22,1,46268.09000000
8,Tipo_F_0-11_Z,TANGARA DA SERRA,MT,2017-12-22,1,47559.59000000
8,Tipo_F_0-11_Z,TANGARA DA SERRA,MT,2018-02-23,1,56007.25870000
8,Tipo_F_0-11_Z,TANGARA DA SERRA,MT,2018-06-27,1,55350
7,Tipo_F_0-11,TANGARA DA SERRA,MT,2018-06-27,1,59860
8,Tipo_F_0-11_Z,TANGARA DA SERRA,MT,2018-11-21,1,75923.80000000
8,Tipo_F_0-11_Z,TANGARA DA SERRA,MT,2018-11-21,1,75923.80000000
13,Tipo_H_2-5,CAMPO NOVO DO PARECIS,MT,2015-10-21,1,39360
7,Tipo_F_0-11,CAMPO NOVO DO PARECIS,MT,2016-06-22,1,60475
7,Tipo_F_0-11,CAMPO NOVO DO PARECIS,MT,2016-08-31,1,66089.95000000
8,Tipo_F_0-11_Z,SAPEZAL,MT,2017-09-26,1,40672
7,Tipo_F_0-11,JUARA,MT,2015-11-23,1,45238.17000000
7,Tipo_F_0-11,JUARA,MT,2016-10-10,1,52365.15900000
